18:41:36.464 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:41:53.578 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - testng
18:41:53.579 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - null
18:41:53.580 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:42:17.376 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
18:42:17.376 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
18:42:17.378 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:43:21.015 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
18:43:21.016 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
18:43:21.017 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:48:08.066 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - testng
18:48:08.066 [ApplicationImpl pooled thread 94] INFO  com.browserstack.utils.Helpers - null
18:48:08.067 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:49:26.694 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - testng
18:49:26.694 [ApplicationImpl pooled thread 94] INFO  com.browserstack.utils.Helpers - null
18:49:26.695 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:52:41.065 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - testng
18:52:41.065 [ApplicationImpl pooled thread 96] INFO  com.browserstack.utils.Helpers - null
18:52:41.066 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:57:00.215 [ApplicationImpl pooled thread 103] INFO  c.b.l.BrowserStackRunExtension - testng
18:57:00.216 [ApplicationImpl pooled thread 103] INFO  com.browserstack.utils.Helpers - null
18:57:00.217 [ApplicationImpl pooled thread 103] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:00:48.011 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - testng
19:00:48.012 [ApplicationImpl pooled thread 100] INFO  com.browserstack.utils.Helpers - null
19:00:48.013 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:01:31.944 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - testng
19:01:31.945 [ApplicationImpl pooled thread 100] INFO  com.browserstack.utils.Helpers - null
19:01:31.946 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:02:29.632 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - testng
19:02:29.633 [ApplicationImpl pooled thread 100] INFO  com.browserstack.utils.Helpers - null
19:02:29.634 [ApplicationImpl pooled thread 100] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:06:12.423 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - testng
19:06:12.424 [ApplicationImpl pooled thread 108] INFO  com.browserstack.utils.Helpers - null
19:06:12.425 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:07:01.167 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - testng
19:07:01.167 [ApplicationImpl pooled thread 115] INFO  com.browserstack.utils.Helpers - null
19:07:01.168 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:09:35.559 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - testng
19:09:35.559 [ApplicationImpl pooled thread 115] INFO  com.browserstack.utils.Helpers - null
19:09:35.561 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:10:55.452 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - testng
19:10:55.452 [ApplicationImpl pooled thread 117] INFO  com.browserstack.utils.Helpers - null
19:10:55.453 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:14:05.225 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - testng
19:14:05.225 [ApplicationImpl pooled thread 120] INFO  com.browserstack.utils.Helpers - null
19:14:05.226 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:14:59.913 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - testng
19:14:59.913 [ApplicationImpl pooled thread 122] INFO  com.browserstack.utils.Helpers - null
19:14:59.914 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:16:30.138 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - testng
19:16:30.138 [ApplicationImpl pooled thread 123] INFO  com.browserstack.utils.Helpers - null
19:16:30.138 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:22:40.080 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - testng
19:22:40.081 [ApplicationImpl pooled thread 127] INFO  com.browserstack.utils.Helpers - null
19:22:40.081 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:20:45.412 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
20:20:45.412 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
20:20:45.413 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
