16:13:52.650 [ApplicationImpl pooled thread 345] INFO  c.b.l.BrowserStackRunExtension - testng
16:13:52.651 [ApplicationImpl pooled thread 345] INFO  com.browserstack.utils.Helpers - null
16:13:52.652 [ApplicationImpl pooled thread 345] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:14:19.868 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - testng
16:14:19.868 [ApplicationImpl pooled thread 336] INFO  com.browserstack.utils.Helpers - null
16:14:19.870 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:15:43.520 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - testng
16:15:43.521 [ApplicationImpl pooled thread 344] INFO  com.browserstack.utils.Helpers - null
16:15:43.523 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:16:52.918 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - testng
16:16:52.919 [ApplicationImpl pooled thread 344] INFO  com.browserstack.utils.Helpers - null
16:16:52.921 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:17:50.937 [ApplicationImpl pooled thread 351] INFO  c.b.l.BrowserStackRunExtension - testng
16:17:50.937 [ApplicationImpl pooled thread 351] INFO  com.browserstack.utils.Helpers - null
16:17:50.938 [ApplicationImpl pooled thread 351] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:24:36.153 [ApplicationImpl pooled thread 361] INFO  c.b.l.BrowserStackRunExtension - testng
16:24:36.153 [ApplicationImpl pooled thread 361] INFO  com.browserstack.utils.Helpers - null
16:24:36.153 [ApplicationImpl pooled thread 361] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:37:52.376 [ApplicationImpl pooled thread 372] INFO  c.b.l.BrowserStackRunExtension - testng
16:37:52.376 [ApplicationImpl pooled thread 372] INFO  com.browserstack.utils.Helpers - null
16:37:52.377 [ApplicationImpl pooled thread 372] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:38:37.824 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - testng
16:38:37.825 [ApplicationImpl pooled thread 375] INFO  com.browserstack.utils.Helpers - null
16:38:37.826 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:39:58.288 [ApplicationImpl pooled thread 374] INFO  c.b.l.BrowserStackRunExtension - testng
16:39:58.289 [ApplicationImpl pooled thread 374] INFO  com.browserstack.utils.Helpers - null
16:39:58.290 [ApplicationImpl pooled thread 374] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:40:53.302 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - testng
16:40:53.302 [ApplicationImpl pooled thread 370] INFO  com.browserstack.utils.Helpers - null
16:40:53.303 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:42:38.931 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - testng
16:42:38.932 [ApplicationImpl pooled thread 365] INFO  com.browserstack.utils.Helpers - null
16:42:38.933 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:44:18.401 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - testng
16:44:18.401 [ApplicationImpl pooled thread 375] INFO  com.browserstack.utils.Helpers - null
16:44:18.403 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:44:48.625 [ApplicationImpl pooled thread 378] INFO  c.b.l.BrowserStackRunExtension - testng
16:44:48.626 [ApplicationImpl pooled thread 378] INFO  com.browserstack.utils.Helpers - null
16:44:48.627 [ApplicationImpl pooled thread 378] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:45:45.763 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - testng
16:45:45.763 [ApplicationImpl pooled thread 384] INFO  com.browserstack.utils.Helpers - null
16:45:45.765 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:46:32.410 [ApplicationImpl pooled thread 380] INFO  c.b.l.BrowserStackRunExtension - testng
16:46:32.410 [ApplicationImpl pooled thread 380] INFO  com.browserstack.utils.Helpers - null
16:46:32.411 [ApplicationImpl pooled thread 380] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:56:27.979 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - testng
16:56:27.979 [ApplicationImpl pooled thread 370] INFO  com.browserstack.utils.Helpers - null
16:56:27.980 [ApplicationImpl pooled thread 370] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:58:26.485 [ApplicationImpl pooled thread 393] INFO  c.b.l.BrowserStackRunExtension - testng
16:58:26.486 [ApplicationImpl pooled thread 393] INFO  com.browserstack.utils.Helpers - null
16:58:26.487 [ApplicationImpl pooled thread 393] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:59:13.180 [ApplicationImpl pooled thread 389] INFO  c.b.l.BrowserStackRunExtension - testng
16:59:13.180 [ApplicationImpl pooled thread 389] INFO  com.browserstack.utils.Helpers - null
16:59:13.182 [ApplicationImpl pooled thread 389] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:01:00.036 [ApplicationImpl pooled thread 396] INFO  c.b.l.BrowserStackRunExtension - testng
17:01:00.036 [ApplicationImpl pooled thread 396] INFO  com.browserstack.utils.Helpers - null
17:01:00.037 [ApplicationImpl pooled thread 396] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:01:50.868 [ApplicationImpl pooled thread 391] INFO  c.b.l.BrowserStackRunExtension - testng
17:01:50.869 [ApplicationImpl pooled thread 391] INFO  com.browserstack.utils.Helpers - null
17:01:50.871 [ApplicationImpl pooled thread 391] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:01:19.755 [ApplicationImpl pooled thread 439] INFO  c.b.l.BrowserStackRunExtension - testng
02:01:19.755 [ApplicationImpl pooled thread 439] INFO  com.browserstack.utils.Helpers - null
02:01:19.756 [ApplicationImpl pooled thread 439] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:03:25.733 [ApplicationImpl pooled thread 449] INFO  c.b.l.BrowserStackRunExtension - testng
02:03:25.733 [ApplicationImpl pooled thread 449] INFO  com.browserstack.utils.Helpers - null
02:03:25.734 [ApplicationImpl pooled thread 449] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:07:41.974 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - testng
02:07:41.975 [ApplicationImpl pooled thread 452] INFO  com.browserstack.utils.Helpers - null
02:07:41.975 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:09:55.889 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - testng
02:09:55.889 [ApplicationImpl pooled thread 457] INFO  com.browserstack.utils.Helpers - null
02:09:55.890 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:11:43.075 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - testng
02:11:43.075 [ApplicationImpl pooled thread 458] INFO  com.browserstack.utils.Helpers - null
02:11:43.076 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:29:52.177 [ApplicationImpl pooled thread 480] INFO  c.b.l.BrowserStackRunExtension - testng
02:29:52.177 [ApplicationImpl pooled thread 480] INFO  com.browserstack.utils.Helpers - null
02:29:52.178 [ApplicationImpl pooled thread 480] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:30:55.908 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - testng
02:30:55.908 [ApplicationImpl pooled thread 492] INFO  com.browserstack.utils.Helpers - null
02:30:55.910 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:31:39.356 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - testng
02:31:39.356 [ApplicationImpl pooled thread 492] INFO  com.browserstack.utils.Helpers - null
02:31:39.357 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:34:28.256 [ApplicationImpl pooled thread 489] INFO  c.b.l.BrowserStackRunExtension - testng
02:34:28.257 [ApplicationImpl pooled thread 489] INFO  com.browserstack.utils.Helpers - null
02:34:28.257 [ApplicationImpl pooled thread 489] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:35:20.046 [ApplicationImpl pooled thread 497] INFO  c.b.l.BrowserStackRunExtension - testng
02:35:20.046 [ApplicationImpl pooled thread 497] INFO  com.browserstack.utils.Helpers - null
02:35:20.048 [ApplicationImpl pooled thread 497] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:41:40.836 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - testng
02:41:40.836 [ApplicationImpl pooled thread 492] INFO  com.browserstack.utils.Helpers - null
02:41:40.837 [ApplicationImpl pooled thread 492] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:49:48.596 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - testng
02:49:48.597 [ApplicationImpl pooled thread 498] INFO  com.browserstack.utils.Helpers - null
02:49:48.597 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:50:43.908 [ApplicationImpl pooled thread 505] INFO  c.b.l.BrowserStackRunExtension - testng
02:50:43.908 [ApplicationImpl pooled thread 505] INFO  com.browserstack.utils.Helpers - null
02:50:43.909 [ApplicationImpl pooled thread 505] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:55:09.028 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - testng
02:55:09.029 [ApplicationImpl pooled thread 498] INFO  com.browserstack.utils.Helpers - null
02:55:09.032 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:59:24.218 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - testng
02:59:24.218 [ApplicationImpl pooled thread 498] INFO  com.browserstack.utils.Helpers - null
02:59:24.220 [ApplicationImpl pooled thread 498] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:01:10.714 [ApplicationImpl pooled thread 519] INFO  c.b.l.BrowserStackRunExtension - testng
03:01:10.715 [ApplicationImpl pooled thread 519] INFO  com.browserstack.utils.Helpers - null
